province,hospital_th,hospital_en,h_code,affiliation,hospital_type,beds,specialty_note,health_region
หนองคาย,โรงพยาบาลรัตนวาปี,RATTANAWAPI HOSPITAL,28815,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,8
ตรัง,โรงพยาบาลหาดสำราญเฉลิมพระเกียรติ ๘๐ พรรษา,Hadsamran Hospital of His Majesty the King’s (Bhumibol) 80thBirthday Anniversary,28817,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,12
กรุงเทพมหานคร,โรงพยาบาลผิวหนัง อโศกสาขาปิ่นเกล้า,,28846,เอกชน,รพ.เอกชน,0.0,,13
กรุงเทพมหานคร,โรงพยาบาลเฉพาะทางศัลยกรรมตกแต่งกมล,,28847,เอกชน,รพ.เอกชน,0.0,,13
สระแก้ว,โรงพยาบาลวังสมบูรณ์,WANGSOMBOON HOSPITAL,28849,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,-,6
สระแก้ว,โรงพยาบาลโคกสูง,KHOKSUNG HOSPITAL,28850,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),5.0,,6
ภูเก็ต,โรงพยาบาลสถานพยาบาลเวชกรรมทั่วไปภาวนาภูเก็ต,,28851,เอกชน,รพ.เอกชน,0.0,,11
นนทบุรี,สถานพยาบาลเลอลักษณ์ศัลยกรรมตกแต่ง,LELUK PLASTIC SURGERY HOSPITAL,28852,เอกชน,รพ.เอกชน,0.0,,4
สุโขทัย,สถานพยาบาลเวชกรรมหมออาคม,,28853,เอกชน,รพ.เอกชน,0.0,,2
ชลบุรี,สถานพยาบาลอมตะเวชกรรม,,28854,เอกชน,รพ.เอกชน,0.0,,6
ราชบุรี,โรงพยาบาลบ้านคา,,28858,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,5
เลย,โรงพยาบาลหนองหิน,NONGHIN HOSPITAL,28861,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,8
นนทบุรี,สถานพยาบาลบางบัวทอง 2,BANGBUATHONG HOSPITAL 2,28875,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,,4
สกลนคร,โรงพยาบาลการแพทย์แผนไทยและการแพทย์ผสมผสานด้านมะเร็ง สกลนคร อโรคยศาล วัดคำประมง,,28879,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),กรมพัฒนาการแพทย์ไทยและการแพทย์ทางเลือก,0.0,,8
ขอนแก่น,โรงพยาบาลกรุงเทพขอนแก่น,BANGKOK HOSPITAL KHON KAEN,31156,เอกชน,รพ.เอกชน,126.0,,7
นครศรีธรรมราช,โรงพยาบาลเฉลิมพระเกียรติ,CHALERMPRAKIAT HOSPITAL,40491,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),30.0,-,11
นราธิวาส,กัลยาณิวัฒนาการุณย์,GALYANIVADHANAKARUN HOSPITAL,40497,กระทรวงศึกษาธิการ,กระทรวงศึกษาธิการ,0.0,,12
เชียงใหม่,โรงพยาบาลโรงพยาบาลทั่วไปขนาดกลางกรุงเทพเชียงใหม่,BANGKOK HOSPITAL CHIANGMAI,40540,เอกชน,รพ.เอกชน,0.0,,1
ตาก,โรงพยาบาลนครแม่สอด อินเตอร์เนชั่นแนล,NAKORNMAESOT INTERNATIONAL HOSPITAL,40741,เอกชน,รพ.เอกชน,0.0,,2
ชลบุรี,โรงพยาบาลวิภาราม อมตะนครโรงพยาบาลทั่วไปขนาดใหญ่,VIBHARAM AMATANAKORN HOSPITAL,40750,เอกชน,รพ.เอกชน,137.0,,6
กรุงเทพมหานคร,สถานพยาบาลบางปะกอก9เวชกรรมทั่วไป,,40754,เอกชน,รพ.เอกชน,0.0,,13
ระยอง,โรงพยาบาลศรีระยอง,SRI RAYONG HOSPITAL,40757,เอกชน,รพ.เอกชน,55.0,,6
นนทบุรี,โรงพยาบาลทั่วไปขนาดใหญ่เกษมราษฎร์ รัตนาธิเบศร์,KARUNVEJ RATTANATIBETH,40765,เอกชน,รพ.เอกชน,119.0,,4
ชลบุรี,โรงพยาบาลสมิติเวช ชลบุรี,SAMITIVEJ CHONBURI  HOSPITAL,40768,เอกชน,รพ.เอกชน,120.0,,6
นครพนม,โรงพยาบาลวังยาง,WANGYANG HOSPITAL,40840,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.),10.0,,8
กรุงเทพมหานคร,โรงพยาบาลกรุงเทพไชน่าทาวน์,,40856,เอกชน,รพ.เอกชน,0.0,,13
อุบลราชธานี,โรงพยาบาลสรรพสิทธิ์อินเตอร์,SANPASITINTER HOSPITAL,40864,เอกชน,รพ.เอกชน,0.0,,10
กรุงเทพมหานคร,โรงพยาบาลสายหยุดโรงพยาบาลทั่วไปขนาดเล็ก,,40865,เอกชน,รพ.เอกชน,0.0,,13
นนทบุรี,โรงพยาบาลเฉพาะทางศัลยกรรมตกแต่งเอเซียขนาดเล็ก,ASIA COSMETIC HOSPITAL,40869,เอกชน,รพ.เอกชน,6.0,,4
ปทุมธานี,โรงพยาบาลทั่วไปขนาดกลางเปาโล รังสิต,PAOLO HOSPITAL RANGSIT,40887,เอกชน,รพ.เอกชน,88.0,1. ทีมบริหารมีความเชี่ยวชาญในเรื่อง Cost efficiency management <br />2. ความเชี่ยวชาญเฉพาะด้านการผ่าตัดส่องกล้องทางนรีเวช<br />3. การทำงานเป็นทีมร่วมมือกับโรงพยาบาลเครือข่าย<br />,4
สุราษฎร์ธานี,สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคใต้,SOUTHERN INSTITUTE OF CHILD AND ADOLESCENCE MENTAL HEALTH,40915,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),กรมสุขภาพจิต,0.0,,11
สมุทรสาคร,โรงพยาบาลวิภาราม สมุทรสาครโรงพยาบาลทั่วไปขนาดใหญ่,VABHARAM SAMUTSAKHON HOSPITAL,40917,เอกชน,รพ.เอกชน,89.0,,5
